100 120
247.231038834034904994041 247.231038834034904994041 247.231038834034904994041
247.087448565289435009618 247.087448565289435009618 247.087448565289435009618
246.949994608141082608199 246.949994608141082608199 246.949994608141082608199
246.81835528132393164924 246.81835528132393164924 246.81835528132393164924
246.69222405107228723864 246.69222405107228723864 246.69222405107228723864
246.571309735308176414037 246.571309735308176414037 246.571309735308176414037
246.455336423288883906935 246.455336423288883906935 246.455336423288883906935
246.344043188139124822555 246.344043188139124822555 246.344043188139124822555
246.237183652357202845451 246.237183652357202845451 246.237183652357202845451
246.134525452654031596467 246.134525452654031596467 246.134525452654031596467
246.03584963964766529898 246.03584963964766529898 246.03584963964766529898
245.940950039420641815013 245.940950039420641815013 245.940950039420641815013
245.849632597273028977725 245.849632597273028977725 245.849632597273028977725
245.761714718796554279834 245.761714718796554279834 245.761714718796554279834
245.6770246193442517324 245.6770246193442517324 245.6770246193442517324
245.595400689833013530006 245.595400689833013530006 245.595400689833013530006
245.516690884399451988429 245.516690884399451988429 245.516690884399451988429
245.440752133575472271332 245.440752133575472271332 245.440752133575472271332
245.367449785241518611656 245.367449785241518611656 245.367449785241518611656
39.2242725622482666381075 39.2242725622482666381075 39.2242725622482666381075
39.4753134415061737172437 39.4753134415061737172437 39.4753134415061737172437
39.7352897194433936078894 39.7352897194433936078894 39.7352897194433936078894
40.0046538620307003952803 40.0046538620307003952803 40.0046538620307003952803
40.2838864778705314506624 40.2838864778705314506624 40.2838864778705314506624
40.5734981954613900256845 40.5734981954613900256845 40.5734981954613900256845
40.8740316388606714781417 40.8740316388606714781417 40.8740316388606714781417
41.1860634961312257473764 41.1860634961312257473764 41.1860634961312257473764
41.5102066708124368688004 41.5102066708124368688004 41.5102066708124368688004
41.8471125011898621437467 41.8471125011898621437467 41.8471125011898621437467
42.1974730249825000782948 42.1974730249825000782948 42.1974730249825000782948
42.5620232577640891236115 42.5620232577640891236115 42.5620232577640891236115
42.9415434413942307401157 42.9415434413942307401157 42.9415434413942307401157
43.3368612032301285807989 43.3368612032301285807989 43.3368612032301285807989
43.7488535469965995616803 43.7488535469965995616803 43.7488535469965995616803
44.1784485707613612248679 44.1784485707613612248679 44.1784485707613612248679
44.62662677507164232793 44.62662677507164232793 44.62662677507164232793
45.0944217831921321248956 45.0944217831921321248956 45.0944217831921321248956
45.5829202433881093270429 45.5829202433881093270429 45.5829202433881093270429
46.0932606177110599787738 46.0932606177110599787738 46.0932606177110599787738
46.6266304796476376282044 46.6266304796476376282044 46.6266304796476376282044
47.1842618406391238750075 47.1842618406391238750075 47.1842618406391238750075
47.767423898713587959719 47.767423898713587959719 47.767423898713587959719
48.3774124467614683453576 48.3774124467614683453576 48.3774124467614683453576
49.015534988696941809394 49.015534988696941809394 49.015534988696941809394
49.6830903847165998854507 49.6830903847165998854507 49.6830903847165998854507
50.3813415793687582322491 50.3813415793687582322491 50.3813415793687582322491
51.1114796585319552946203 51.1114796585319552946203 51.1114796585319552946203
51.8745771396757788807008 51.8745771396757788807008 51.8745771396757788807008
52.6715280395452580819438 52.6715280395452580819438 52.6715280395452580819438
53.5029719156334593321844 53.5029719156334593321844 53.5029719156334593321844
54.3691987969140555492231 54.3691987969140555492231 54.3691987969140555492231
55.2700317938773864057111 55.2700317938773864057111 55.2700317938773864057111
56.2046843438744048171429 56.2046843438744048171429 56.2046843438744048171429
57.1715897024958223937574 57.1715897024958223937574 57.1715897024958223937574
58.168201705495519604483 58.168201705495519604483 58.168201705495519604483
59.1907683429896067650589 59.1907683429896067650589 59.1907683429896067650589
60.2340837043490751057107 60.2340837043490751057107 60.2340837043490751057107
61.2912297497300713189361 61.2912297497300713189361 61.2912297497300713189361
62.3533273730058752448713 62.3533273730058752448713 62.3533273730058752448713
63.4093261900251050633415 63.4093261900251050633415 63.4093261900251050633415
64.4458735547547689748171 64.4458735547547689748171 64.4458735547547689748171
65.4473135271740602547652 65.4473135271740602547652 65.4473135271740602547652
66.3958725832914780085048 66.3958725832914780085048 66.3958725832914780085048
67.2720862041479250592602 67.2720862041479250592602 67.2720862041479250592602
68.0555041280795620650679 68.0555041280795620650679 68.0555041280795620650679
68.7256784594485026218535 68.7256784594485026218535 68.7256784594485026218535
69.263388590444790793299 69.263388590444790793299 69.263388590444790793299
69.6519972950820118740012 69.6519972950820118740012 69.6519972950820118740012
69.8787780226373200775924 69.8787780226373200775924 69.8787780226373200775924
69.9360232745497540918223 69.9360232745497540918223 69.9360232745497540918223
69.8217542164083226907678 69.8217542164083226907678 69.8217542164083226907678
69.5399074731617332645328 69.5399074731617332645328 69.5399074731617332645328
69.0999653722614652906486 69.0999653722614652906486 69.0999653722614652906486
68.5160959836559584346105 68.5160959836559584346105 68.5160959836559584346105
67.8059503285454923116049 67.8059503285454923116049 67.8059503285454923116049
66.9893051435175266306032 66.9893051435175266306032 66.9893051435175266306032
66.0867351087115793006888 66.0867351087115793006888 66.0867351087115793006888
65.1184581296177356080079 65.1184581296177356080079 65.1184581296177356080079
64.1034391740748361598889 64.1034391740748361598889 64.1034391740748361598889
63.0587804048954509994473 63.0587804048954509994473 63.0587804048954509994473
61.9993802220141816405885 61.9993802220141816405885 61.9993802220141816405885
60.9378161815366539144634 60.9378161815366539144634 60.9378161815366539144634
59.8843954867931742569453 59.8843954867931742569453 59.8843954867931742569453
58.847317560353687326824 58.847317560353687326824 58.847317560353687326824
57.8329011111892441476812 57.8329011111892441476812 57.8329011111892441476812
56.8458389122439484708593 56.8458389122439484708593 56.8458389122439484708593
55.8894543609731542233021 55.8894543609731542233021 55.8894543609731542233021
54.9659432640373211143014 54.9659432640373211143014 54.9659432640373211143014
54.0765915844479394536393 54.0765915844479394536393 54.0765915844479394536393
53.2219651232294665987865 53.2219651232294665987865 53.2219651232294665987865
52.4020705794133760946352 52.4020705794133760946352 52.4020705794133760946352
51.6164895392947968844055 51.6164895392947968844055 51.6164895392947968844055
50.8644880718786893680772 50.8644880718786893680772 50.8644880718786893680772
50.1451050729763423419172 50.1451050729763423419172 50.1451050729763423419172
